تاريخ,اجمالي_مصريين_شراء,اجمالي_مصريين_بيع,اجمالي_مصريين_صافي,اجمالي_عرب_شراء,اجمالي_عرب_بيع,اجمالي_عرب_صافي,اجمالي_اجانب_شراء,اجمالي_اجانب_بيع,اجمالي_اجانب_صافي,افراد_مصريين_شراء,افراد_مصريين_بيع,افراد_مصريين_صافي,افراد_عرب_شراء,افراد_عرب_بيع,افراد_عرب_صافي,افراد_اجانب_شراء,افراد_اجانب_بيع,افراد_اجانب_صافي,مؤسسات_مصريين_شراء,مؤسسات_مصريين_بيع,مؤسسات_مصريين_صافي,مؤسسات_عرب_شراء,مؤسسات_عرب_بيع,مؤسسات_عرب_صافي,مؤسسات_اجانب_شراء,مؤسسات_اجانب_بيع,مؤسسات_اجانب_صافي
2026-03-19,38970440127.0,141821789107.0,-102851348980.0,108765616945.0,6984539520.0,101781077425.0,10845405099.0,9775133544.0,1070271555.0,4712538087.0,3728031660.0,984506426.0,86041678.0,136230752.0,-50189073.0,1823448.0,2020758.0,-197310.0,34257902040.0,138093757447.0,-103835855406.0,108679575266.0,6848308768.0,101831266498.0,10843581651.0,9773112785.0,1070468866.0
2026-03-22,38970440127.0,141821789107.0,-102851348980.0,108765616945.0,6984539520.0,101781077425.0,10845405099.0,9775133544.0,1070271555.0,4712538087.0,3728031660.0,984506426.0,86041678.0,136230752.0,-50189073.0,1823448.0,2020758.0,-197310.0,34257902040.0,138093757447.0,-103835855406.0,108679575266.0,6848308768.0,101831266498.0,10843581651.0,9773112785.0,1070468866.0
2026-03-23,38970440127.0,141821789107.0,-102851348980.0,108765616945.0,6984539520.0,101781077425.0,10845405099.0,9775133544.0,1070271555.0,4712538087.0,3728031660.0,984506426.0,86041678.0,136230752.0,-50189073.0,1823448.0,2020758.0,-197310.0,34257902040.0,138093757447.0,-103835855406.0,108679575266.0,6848308768.0,101831266498.0,10843581651.0,9773112785.0,1070468866.0
2026-03-24,67134510163.0,76282465570.0,-9147955407.0,7827804550.0,8000974664.0,-173170114.0,25288791937.0,15967666416.0,9321125521.0,5454300401.0,4732483409.0,721816991.0,205114168.0,138808276.0,66305892.0,16096607.0,4234670.0,11861937.0,61680209763.0,71549982161.0,-9869772398.0,7622690381.0,7862166388.0,-239476006.0,25272695330.0,15963431746.0,9309263584.0
2026-03-25,50683836414.0,48428205149.0,2255631265.0,3759016547.0,4154100417.0,-395083869.0,7092506526.0,8953053922.0,-1860547396.0,5401332702.0,4842980289.0,558352413.0,245939727.0,235226194.0,10713534.0,3371736.0,3054905.0,316830.0,45282503713.0,43585224860.0,1697278853.0,3513076820.0,3918874223.0,-405797403.0,7089134791.0,8949999017.0,-1860864226.0
2026-03-26,83135375588.0,53644560812.0,29490814776.0,6702207790.0,5847882366.0,854325424.0,6378740348.0,36723880549.0,-30345140201.0,4732129007.0,4380734873.0,351394134.0,162426576.0,114050814.0,48375762.0,3669344.0,3850500.0,-181157.0,78403246581.0,49263825938.0,29139420643.0,6539781214.0,5733831551.0,805949663.0,6375071005.0,36720030048.0,-30344959044.0
2026-03-29,25169564760.0,24982588245.0,186976514.0,1002805242.0,1027985635.0,-25180393.0,78365052.0,240161173.0,-161796121.0,5985994711.0,4357621706.0,1628373005.0,179069040.0,118822554.0,60246486.0,2970730.0,4133100.0,-1162369.0,19183570049.0,20624966540.0,-1441396491.0,823736202.0,909163081.0,-85426879.0,75394321.0,236028074.0,-160633752.0
2026-03-30,40044613855.0,36455486818.0,3589127037.0,3836703845.0,1938261333.0,1898442512.0,3968209993.0,9455779542.0,-5487569549.0,4929220302.0,4322005529.0,607214773.0,110378007.0,159661629.0,-49283623.0,5633409.0,4417994.0,1215414.0,35115393552.0,32133481289.0,2981912263.0,3726325838.0,1778599703.0,1947726135.0,3962576584.0,9451361548.0,-5488784963.0
2026-03-31,209030000305.0,200667057376.0,8362942929.0,53807162108.0,20468332151.0,33338829957.0,34299331615.0,76001104501.0,-41701772886.0,5225133426.0,4929545854.0,295587571.0,277176638.0,207795056.0,69381582.0,14801528.0,1729868.0,13071660.0,203804866880.0,195737511522.0,8067355358.0,53529985470.0,20260537095.0,33269448376.0,34284530087.0,75999374633.0,-41714844546.0
2026-04-01,116401506775.0,72593878733.0,43807628042.0,4758881801.0,7860534191.0,-3101652390.0,3180953973.0,43886929625.0,-40705975652.0,4687043218.0,4296187721.0,390855497.0,207472459.0,486889012.0,-279416553.0,2988223.0,2398320.0,589903.0,111714463557.0,68297691012.0,43416772545.0,4551409342.0,7373645179.0,-2822235837.0,3177965749.0,43884531305.0,-40706565555.0
2026-04-02,69874082900.0,46690053514.0,23184029387.0,8990383937.0,10183237301.0,-1192853364.0,3208294885.0,25199470908.0,-21991176023.0,4758243228.0,4815288209.0,-57044981.0,193372778.0,225194301.0,-31821523.0,3559595.0,5846479.0,-2286884.0,65115839672.0,41874765305.0,23241074368.0,8797011159.0,9958043001.0,-1161031841.0,3204735290.0,25193624429.0,-21988889139.0
2026-04-05,21621726893.0,19835987484.0,1785739409.0,897334932.0,2829749506.0,-1932414574.0,235871977.0,89196811.0,146675166.0,4913809161.0,4690967467.0,222841693.0,191528693.0,141567264.0,49961429.0,2669527.0,3297419.0,-627892.0,16707917733.0,15145020017.0,1562897715.0,705806238.0,2688182242.0,-1982376003.0,233202450.0,85899393.0,147303057.0
2026-04-06,71725052771.0,71285666923.0,439385848.0,3520422696.0,3694831829.0,-174409133.0,4052616582.0,4317593297.0,-264976715.0,6387678442.0,5719739908.0,667938534.0,292127980.0,202957931.0,89170049.0,2656874.0,3802622.0,-1145748.0,65337374328.0,65565927015.0,-228552686.0,3228294716.0,3491873898.0,-263579181.0,4049959707.0,4313790675.0,-263830967.0
2026-04-07,183279408579.0,190189953557.0,-6910544978.0,8572553598.0,8414906839.0,157646759.0,23642998855.0,16890100636.0,6752898218.0,5737133123.0,5146428874.0,590704248.0,236160858.0,206642316.0,29518542.0,4413880.0,3435551.0,978329.0,177542275456.0,185043524683.0,-7501249226.0,8336392740.0,8208264523.0,128128217.0,23638584975.0,16886665086.0,6751919890.0
2026-04-08,41638741970.0,54203646665.0,-12564904695.0,7444761668.0,6598614259.0,846147409.0,14502417282.0,2783659996.0,11718757286.0,7460910624.0,7245530155.0,215380470.0,226036223.0,452291382.0,-226255159.0,37058980.0,277733213.0,-240674233.0,34177831346.0,46958116510.0,-12780285164.0,7218725445.0,6146322877.0,1072402568.0,14465358302.0,2505926783.0,11959431519.0
2026-04-09,124653799704.0,118262712511.0,6391087192.0,5150303116.0,5976709521.0,-826406405.0,14407086461.0,19971767248.0,-5564680787.0,6216513206.0,5952538881.0,263974325.0,305130307.0,346380473.0,-41250166.0,57761437.0,4070370.0,53691068.0,118437286498.0,112310173630.0,6127112867.0,4845172809.0,5630329048.0,-785156239.0,14349325024.0,19967696878.0,-5618371855.0
2026-04-12,124653799704.0,118262712511.0,6391087192.0,5150303116.0,5976709521.0,-826406405.0,14407086461.0,19971767248.0,-5564680787.0,6216513206.0,5952538881.0,263974325.0,305130307.0,346380473.0,-41250166.0,57761437.0,4070370.0,53691068.0,118437286498.0,112310173630.0,6127112867.0,4845172809.0,5630329048.0,-785156239.0,14349325024.0,19967696878.0,-5618371855.0
2026-04-13,124653799704.0,118262712511.0,6391087192.0,5150303116.0,5976709521.0,-826406405.0,14407086461.0,19971767248.0,-5564680787.0,6216513206.0,5952538881.0,263974325.0,305130307.0,346380473.0,-41250166.0,57761437.0,4070370.0,53691068.0,118437286498.0,112310173630.0,6127112867.0,4845172809.0,5630329048.0,-785156239.0,14349325024.0,19967696878.0,-5618371855.0
2026-04-14,162132723198.0,232426351158.0,-70293627960.0,13705739861.0,13670947381.0,34792480.0,84579841315.0,14321005835.0,70258835481.0,6369705748.0,6480859049.0,-111153300.0,641441362.0,235604789.0,405836574.0,11150973.0,6822531.0,4328442.0,155763017450.0,225945492110.0,-70182474660.0,13064298499.0,13435342593.0,-371044094.0,84568690342.0,14314183304.0,70254507039.0
2026-04-15,50984757477.0,73727035529.0,-22742278052.0,3142419940.0,3857577947.0,-715158007.0,28662968798.0,5205532739.0,23457436059.0,6658758754.0,6495828972.0,162929782.0,307531778.0,321717340.0,-14185562.0,11605444.0,15289523.0,-3684079.0,44325998724.0,67231206557.0,-22905207834.0,2834888162.0,3535860607.0,-700972445.0,28651363353.0,5190243216.0,23461120137.0
2026-04-16,51268326341.0,106741138753.0,-55472812412.0,7640920493.0,6280338182.0,1360582311.0,62035977036.0,7923746935.0,54112230101.0,8136586974.0,7370837154.0,765749820.0,454064090.0,388530709.0,65533381.0,68151767.0,9126545.0,59025221.0,43131739367.0,99370301599.0,-56238562232.0,7186856403.0,5891807473.0,1295048930.0,61967825269.0,7914620390.0,54053204879.0
2026-04-19,28891317859.0,29290747532.0,-399429672.0,1056389526.0,889436069.0,166953457.0,1017666140.0,785189925.0,232476215.0,7775160531.0,6979583357.0,795577174.0,369790329.0,321090268.0,48700061.0,9831757.0,26255885.0,-16424127.0,21116157328.0,22311164175.0,-1195006846.0,686599197.0,568345801.0,118253396.0,1007834383.0,758934040.0,248900343.0
2026-04-20,35078905512.0,54782020754.0,-19703115242.0,5039243580.0,3913426946.0,1125816634.0,40326121542.0,21748822934.0,18577298608.0,6675444726.0,5987856627.0,687588099.0,396911830.0,380146974.0,16764856.0,7254012.0,17584341.0,-10330328.0,28403460787.0,48794164127.0,-20390703340.0,4642331750.0,3533279972.0,1109051778.0,40318867530.0,21731238594.0,18587628936.0
2026-04-21,181693879056.0,207085371136.0,-25391492080.0,30856357603.0,21069996994.0,9786360608.0,65488000421.0,49882868948.0,15605131472.0,8010567601.0,7962112514.0,48455087.0,445293710.0,414281185.0,31012525.0,13355370.0,53062308.0,-39706938.0,173683311455.0,199123258622.0,-25439947167.0,30411063893.0,20655715809.0,9755348083.0,65474645051.0,49829806640.0,15644838411.0
2026-04-22,77586395453.0,82776200384.0,-5189804931.0,5214786805.0,4125779989.0,1089006816.0,27089075048.0,22988276933.0,4100798115.0,8670635734.0,8545584475.0,125051259.0,532583823.0,603520154.0,-70936331.0,9475454.0,4967581.0,4507873.0,68915759719.0,74230615909.0,-5314856190.0,4682202982.0,3522259835.0,1159943147.0,27079599595.0,22983309353.0,4096290242.0
2026-04-23,44844489311.0,56028475781.0,-11183986470.0,5866712165.0,5593350927.0,273361238.0,18710312046.0,7799686814.0,10910625232.0,8980298775.0,9278512631.0,-298213855.0,929278333.0,528348415.0,400929917.0,123147518.0,10408256.0,112739262.0,35864190535.0,46749963151.0,-10885772615.0,4937433833.0,5065002512.0,-127568679.0,18587164528.0,7789278558.0,10797885970.0
2026-04-26,20040785476.0,19959157558.0,81627919.0,481512005.0,458150268.0,23361737.0,54400257.0,159389912.0,-104989656.0,8218351816.0,7825069881.0,393281936.0,358483980.0,405416983.0,-46933004.0,15074917.0,25710582.0,-10635665.0,11822433660.0,12134087677.0,-311654017.0,123028025.0,52733285.0,70294741.0,39325340.0,133679330.0,-94353990.0
